Name,Release year,Market,Processor,Code name,Device ID,Clock rate,Clock rate,Core config1,API support[62][13][32][49][50],API support[62][13][32][49][50],API support[62][13][32][49][50],API support[62][13][32][49][50],eDRAM  (MiB),Memory  bandwidth  (GB/s)
Name,Release year,Market,Processor,Code name,Device ID,Min  (MHz),Max  (MHz),Core config1,Direct3D,OpenGL,OpenCL,Vulkan,eDRAM  (MiB),Memory  bandwidth  (GB/s)
HD Graphics 615,2017,Mobile,Core m3-7Y30  Core m3-7Y32,Kaby Lake  (Gen9p5),591E,300,900,192:24:3  (GT2),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.1Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,29.8
HD Graphics 615,2017,Mobile,Core i5-7Y54  Core i5-7Y57,Kaby Lake  (Gen9p5),591E,300,950,192:24:3  (GT2),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.1Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,29.8
HD Graphics 615,2017,Mobile,Core i7-7Y75,Kaby Lake  (Gen9p5),591E,300,1050,192:24:3  (GT2),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.1Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,29.8
HD Graphics 620,2017,Mobile,Core i3-7020U  Core i3-7100U  Core i3-7130U  Core i5-7200U,Kaby Lake  (Gen9p5),5916,300,1000,192:24:3  (GT2),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.1Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
HD Graphics 620,2017,Mobile,Core i7-7500U,Kaby Lake  (Gen9p5),5916,300,1050,192:24:3  (GT2),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.1Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
HD Graphics 620,2017,Mobile,Core i5-7300U,Kaby Lake  (Gen9p5),5916,300,1100,192:24:3  (GT2),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.1Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
HD Graphics 620,2017,Mobile,Core i7-7600U,Kaby Lake  (Gen9p5),5916,300,1150,192:24:3  (GT2),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.1Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
UHD Graphics 620,2017,Mobile,Core i3-8130U,Kaby Lake  (Gen9p5),5917,300,1000,192:24:3  (GT2),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.1Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,38.4
UHD Graphics 620,2017,Mobile,Core i5-8250U  Core i5-8350U,Kaby Lake  (Gen9p5),5917,300,1100,192:24:3  (GT2),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.1Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,38.4
UHD Graphics 620,2017,Mobile,Core i7-8550U  Core i7-8650U,Kaby Lake  (Gen9p5),5917,300,1150,192:24:3  (GT2),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.1Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,38.4
