ㄖㄤ,jang,rang,rang,rang,rang,rhang,rang,raang,ranq,ɻaŋ
ㄖㄠ,jao,rau,rau,rao,rao,rhau,rau,rao,raw,ɻau
ㄖㄜ,jê,re,re,re,re,rhe,re,ree,reh,ɻɤ
ㄖㄣ,jên,ren,ren,ren,ren,rhen,ren,reen,renn,ɻən
ㄖㄥ,jêng,reng,reng,reng,reng,rheng,reng,reeng,renq,ɻəŋ
ㄖ,jih,r,r,rih,ri,rhy,ry,ryy,ryh,ɻɨ
ㄖㄨㄛ,jo,ruo,rwo,ruo,ruo,rhuo,ruo,ruoo,ruoh,ɻuo
ㄖㄡ,jou,rou,rou,rou,rou,rhou,rou,roou,row,ɻou
ㄖㄨ,ju,ru,ru,ru,ru,rhu,ru,ruu,ruh,ɻu
ㄖㄨㄢ,juan,ruan,rwan,ruan,ruan,rhuan,ruan,roan,ruann,ɻuan
ㄖㄨㄟ,jui,ruei,rwei,ruei,rui,rhuei,ruei,roei,ruey,ɻuei
ㄖㄨㄣ,jun,ruen,rwun,run,run,rhuen,ruen,roen,ruenn,ɻuən
ㄖㄨㄥ,jung,rung,rung,rong,rong,rhong,rong,roong,ronq,ɻʊŋ
ㄍㄚ,ka,ga,ga,ga,ga,ga,gar,gaa,gah,ka
ㄎㄚ,kʻa,ka,ka,ka,ka,ka,kar,kaa,kah,kʰa
ㄍㄞ,kai,gai,gai,gai,gai,gai,gair,gae,gay,kai
ㄎㄞ,kʻai,kai,kai,kai,kai,kai,kair,kae,kay,kʰai
ㄍㄢ,kan,gan,gan,gan,gan,gan,garn,gaan,gann,kan
ㄎㄢ,kʻan,kan,kan,kan,kan,kan,karn,kaan,kann,kʰan
ㄍㄤ,kang,gang,gang,gang,gang,gang,garng,gaang,ganq,kaŋ
ㄎㄤ,kʻang,kang,kang,kang,kang,kang,karng,kaang,kanq,kʰaŋ
ㄍㄠ,kao,gau,gau,gao,gao,gau,gaur,gao,gaw,kau
ㄎㄠ,kʻao,kau,kau,kao,kao,kau,kaur,kao,kaw,kʰau
ㄍㄟ,kei,gei,gei,gei,gei,gei,geir,geei,gey,kei
ㄎㄟ,kʻei,kei,kei,kei,kei,kei,keir,keei,key,kʰei
ㄍㄣ,kên,gen,gen,gen,gen,gen,gern,geen,genn,kən
ㄎㄣ,kʻên,ken,ken,ken,ken,ken,kern,keen,kenn,kʰən
ㄍㄥ,kêng,geng,geng,geng,geng,geng,gerng,geeng,genq,kəŋ
ㄎㄥ,kʻêng,keng,keng,keng,keng,keng,kerng,keeng,kenq,kʰəŋ
ㄍㄜ,ko,ge,ge,ge,ge,ge,ger,gee,geh,kɤ
ㄎㄜ,kʻo,ke,ke,ke,ke,ke,ker,kee,keh,kʰɤ
ㄍㄡ,kou,gou,gou,gou,gou,gou,gour,goou,gow,kou
ㄎㄡ,kʻou,kou,kou,kou,kou,kou,kour,koou,kow,kʰou
ㄍㄨ,ku,gu,gu,gu,gu,gu,gwu,guu,guh,ku
ㄎㄨ,kʻu,ku,ku,ku,ku,ku,kwu,kuu,kuh,kʰu
