Graphics,Launch,Market,Processor,Code name,Device ID[3],Core clock  (MHz),Core config1,API support[13][32][33][34],API support[13][32][33][34],API support[13][32][33][34],API support[13][32][33][34],Memory  bandwidth (GB/s),DVMT (MB),QSV
Graphics,Launch,Market,Processor,Code name,Device ID[3],Core clock  (MHz),Core config1,Direct3D,OpenGL[24],OpenCL,Vulkan,Memory  bandwidth (GB/s),DVMT (MB),QSV
HD Graphics P4600,2013,Workstation,Xeon E3-1275 v3  Xeon E3-1276 v3,Haswell,0412 0416 041A 041B 041E  ULT: 0A12 0A16 0A1A 0A1B 0A1E,350–1250,160:20:2 (GT2),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
HD Graphics P4700,2013,Workstation,Xeon E3-1285L v3  Xeon E3-1286L v3,Haswell,0412 0416 041A 041B 041E  ULT: 0A12 0A16 0A1A 0A1B 0A1E,350–1250,160:20:2 (GT2),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
HD Graphics P4700,2013,Workstation,Xeon E3-1285 v3  Xeon E3-1286 v3,Haswell,0412 0416 041A 041B 041E  ULT: 0A12 0A16 0A1A 0A1B 0A1E,350–1300,160:20:2 (GT2),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
HD Graphics 5000,2013,ULT  Mobile,Core i5-4250U,Haswell,0422 0426 042A 042B 042E  ULT: 0A22 0A26 0A2A 0A2B 0A2E,200–1000,320:40:4 (GT3),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
HD Graphics 5000,2013,ULT  Mobile,Core i5-4350U  Core i7-4550U  Core i7-4650U,Haswell,0422 0426 042A 042B 042E  ULT: 0A22 0A26 0A2A 0A2B 0A2E,200–1100,320:40:4 (GT3),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
Iris Graphics 5100,2013,ULT  Mobile,Core i3-4158U  Core i5-4258U,Haswell,0422 0426 042A 042B 042E  ULT: 0A22 0A26 0A2A 0A2B 0A2E,200–1100,320:40:4 (GT3),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
Iris Graphics 5100,2013,ULT  Mobile,Core i5-4288U  Core i7-4558U,Haswell,0422 0426 042A 042B 042E  ULT: 0A22 0A26 0A2A 0A2B 0A2E,200–1200,320:40:4 (GT3),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
Iris Pro Graphics 5200,2013,Desktop,Core i5-4570R,Haswell,0D22 0D26 0D2A 0D2B 0D2E,200–1150,320:40:4 + eDRAM (GT3e),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
Iris Pro Graphics 5200,2013,Desktop,Core i5-4670R Core i7-4770R,Haswell,0D22 0D26 0D2A 0D2B 0D2E,200–1300,320:40:4 + eDRAM (GT3e),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
Iris Pro Graphics 5200,2013,Mobile,Core i7-4750HQ  Core i7-4850HQ,Haswell,0D22 0D26 0D2A 0D2B 0D2E,200–1200,320:40:4 + eDRAM (GT3e),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
Iris Pro Graphics 5200,2013,Mobile,Core i7-49xxHQ,Haswell,0D22 0D26 0D2A 0D2B 0D2E,200–1300,320:40:4 + eDRAM (GT3e),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
