Architecture,Fabrication (nm),Family,Production Date,Code name,Model Group,Cores,Clock rate (MHz),Bus Speed & Type[a],Cache,Cache,Cache,Socket,Memory Controller,Features,Features,Features
Architecture,Fabrication (nm),Family,Production Date,Code name,Model Group,Cores,Clock rate (MHz),Bus Speed & Type[a],L1,L2,L3,Socket,Memory Controller,SIMD,Speed/Power,Other
K8,65,Athlon 64 X2,,Brisbane,"3600+, 3800+, 4000+, 4200+, 4400+, 4600+, 4800+, 5000+, 5200+, 5400+, 5600+, 5800+, 6000+",2,"1900, 2000, 2100, 2200, 2300, 2400, 2500, 2600, 2700, 2800, 2900, 3000, 3100",1000,64+64,"512 PC, FS",,Socket AM2,DDR2,"MMX, 3DNow!+, SSE, SSE2, SSE3",Cool'n'Quiet,"AMD64,  NX Bit,  AMD-V"
K8,130,Sempron,,Paris,3000+,1,1800,800,64+64,128,,Socket 754,,"MMX, 3DNow!+, SSE, SSE2, SSE3",Cool'n'Quiet,NX Bit
K8,130,Sempron,,Paris,3100+,1,1800,800,64+64,256,,Socket 754,,"MMX, 3DNow!+, SSE, SSE2, SSE3",Cool'n'Quiet,NX Bit
K8,90,Sempron,,Palermo,2500+,1,1400,800,64+64,256,,Socket 754,,"MMX, 3DNow!+, SSE, SSE2, SSE3[4]",,"AMD64,[4]  NX Bit"
K8,90,Sempron,,Palermo,2600+,1,1600,800,64+64,128,,Socket 754,,"MMX, 3DNow!+, SSE, SSE2, SSE3[4]",,"AMD64,[4]  NX Bit"
K8,90,Sempron,,Palermo,2800+,1,1600,800,64+64,256,,Socket 754,,"MMX, 3DNow!+, SSE, SSE2, SSE3[4]",,"AMD64,[4]  NX Bit"
K8,90,Sempron,,Palermo,3000+,1,1800,800,64+64,128,,Socket 754,,"MMX, 3DNow!+, SSE, SSE2, SSE3[4]",Cool'n'Quiet,"AMD64,[4]  NX Bit"
K8,90,Sempron,,Palermo,3100+,1,1800,800,64+64,256,,Socket 754,,"MMX, 3DNow!+, SSE, SSE2, SSE3[4]",Cool'n'Quiet,"AMD64,[4]  NX Bit"
K8,90,Sempron,,Palermo,3300+,1,2000,800,64+64,128,,Socket 754,,"MMX, 3DNow!+, SSE, SSE2, SSE3[4]",Cool'n'Quiet,"AMD64,[4]  NX Bit"
K8,90,Sempron,,Palermo,3400+,1,2000,800,64+64,256,,Socket 754,,"MMX, 3DNow!+, SSE, SSE2, SSE3[4]",Cool'n'Quiet,"AMD64,[4]  NX Bit"
K8,90,Sempron,,Palermo,3000+,1,1800,800,64+64,128,,Socket 939,,"MMX, 3DNow!+, SSE, SSE2, SSE3",,"AMD64,[4]  NX Bit"
K8,90,Sempron,,Palermo,3200+,1,1800,800,64+64,256,,Socket 939,,"MMX, 3DNow!+, SSE, SSE2, SSE3",,"AMD64,[4]  NX Bit"
K8,90,Sempron,,Palermo,3400+,1,2000,800,64+64,128,,Socket 939,,"MMX, 3DNow!+, SSE, SSE2, SSE3",,"AMD64,[4]  NX Bit"
K8,90,Sempron,,Palermo,3500+,1,2000,800,64+64,256,,Socket 939,,"MMX, 3DNow!+, SSE, SSE2, SSE3",,"AMD64,[4]  NX Bit"
K8,90,Sempron,,Manila,"2800+, 3200+, 3500+",1,"1600, 1800, 2000",800,64+64,128,,Socket AM2,,"MMX, 3DNow!+, SSE, SSE2, SSE3",Cool'n'Quiet,"AMD64,  NX bit"
K8,90,Sempron,,Manila,"3000+, 3400+, 3600+, 3800+",1,"1600, 1800, 2000, 2200",800,64+64,256,,Socket AM2,,"MMX, 3DNow!+, SSE, SSE2, SSE3",Cool'n'Quiet,"AMD64,  NX bit"
K8,65,Sempron,,Sparta,"LE-1100, LE-1150",1,"1900, 2000",800,64+64,256,,Socket AM2,,"MMX, 3DNow!+, SSE, SSE2, SSE3",Cool'n'Quiet,"AMD64,  NX bit"
K8,65,Sempron,,Sparta,"LE-1200, LE-1250, LE-1300",1,"2100, 2200, 2300",800,64+64,512,,Socket AM2,,"MMX, 3DNow!+, SSE, SSE2, SSE3",Cool'n'Quiet,"AMD64,  NX bit"
K8,130,Mobile Athlon 64,,Clawhammer,2700+,1,1600,800,64+64,512,,Socket 754,,"MMX, 3DNow!+, SSE, SSE2",,"AMD64,  NX bit"
K8,130,Mobile Athlon 64,,Clawhammer,"2800+, 3000+, 3200+, 3400+, 3700+",1,"1600, 1800, 2000, 2200, 2400",800,64+64,1024,,Socket 754,,"MMX, 3DNow!+, SSE, SSE2",,"AMD64,  NX bit"
K8,130,Mobile Athlon 64,,Odessa,"2700+, 2800+, 3000+",1,"1600, 1800, 2000",800,64+64,512,,Socket 754,,"MMX, 3DNow!+, SSE, SSE2",,"AMD64,  NX bit"
K8,90,Mobile Athlon 64,,Oakville,"2700+, 2800+, 3000+",1,"1600, 1800, 2000",800,64+64,512,,Socket 754,,"MMX, 3DNow!+, SSE, SSE2",,"AMD64,  NX bit"
K8,90,Mobile Athlon 64,,Newark,"3000+, 3200+, 3400+, 3700+, 4000+",1,"1800, 2000, 2200, 2400, 2600",800,64+64,1024,,Socket 754,,"MMX, 3DNow!+, SSE, SSE2",,"AMD64,  NX bit"
K8,130,Mobile Sempron,,Dublin,,1,"1600, 1800",800,64+64,128,,Socket 754,,"MMX, 3DNow!+, SSE, SSE2",,"AMD64,  NX bit"
K8,130,Mobile Sempron,,Dublin,,1,1600,800,64+64,256,,Socket 754,,"MMX, 3DNow!+, SSE, SSE2",,"AMD64,  NX bit"
K8,90,Mobile Sempron,,Georgetown,,1,"1600, 1800, 2000",800,64+64,128,,Socket 754,,"MMX, 3DNow!+, SSE, SSE2",,"AMD64,  NX bit"
K8,90,Mobile Sempron,,Georgetown,,1,"1600, 1800",800,64+64,256,,Socket 754,,"MMX, 3DNow!+, SSE, SSE2",,"AMD64,  NX bit"
K8,90,Mobile Sempron,,Sonora,,1,"1600, 1800",800,64+64,128,,Socket 754,,"MMX, 3DNow!+, SSE, SSE2",,"AMD64,  NX bit"
K8,90,Mobile Sempron,,Sonora,,1,"1600, 1800",800,64+64,256,,Socket 754,,"MMX, 3DNow!+, SSE, SSE2",,"AMD64,  NX bit"
K8,90,Mobile Sempron,,Albany,,1,"1800, 2000, 2200",800,64+64,128,,Socket 754,,"MMX, 3DNow!+, SSE, SSE2, SSE3",,"AMD64,  NX bit"
K8,90,Mobile Sempron,,Albany,,1,"1800, 2000",800,64+64,256,,Socket 754,,"MMX, 3DNow!+, SSE, SSE2, SSE3",,"AMD64,  NX bit"
K8,90,Mobile Sempron,,Roma,,1,"1800, 2000",800,64+64,128,,Socket 754,,"MMX, 3DNow!+, SSE, SSE2, SSE3",,"AMD64,  NX bit"
K8,90,Mobile Sempron,,Roma,,1,"1600, 1800, 2000",800,64+64,256,,Socket 754,,"MMX, 3DNow!+, SSE, SSE2, SSE3",,"AMD64,  NX bit"
K8,90,Mobile Sempron,,Keene,,1,"1800, 2000",800,64+64,256,,Socket S1,,"MMX, 3DNow!+, SSE, SSE2, SSE3",PowerNow!,"AMD64,  NX bit"
K8,90,Mobile Sempron,,Keene,,1,"1600, 1800, 2000",800,64+64,512,,Socket S1,,"MMX, 3DNow!+, SSE, SSE2, SSE3",PowerNow!,"AMD64,  NX bit"
K8,90,Turion 64,,Lancaster,"MT-28, MT-32, ML-42",1,"1600 1800, 2400",800,64+64,512,,Socket 754,,"MMX, 3DNow!+, SSE, SSE2, SSE3",,"AMD64,  NX bit"
K8,90,Turion 64,,Lancaster,"MT-30, MT-34, MT-37, MT-40, ML-44",1,"1600, 1800, 2000, 2200, 2400",800,64+64,1024,,Socket 754,,"MMX, 3DNow!+, SSE, SSE2, SSE3",,"AMD64,  NX bit"
K8,90,Turion 64,,Richmond,"MK-36, MK-38",1,"2000, 2200",800,64+64,512,,Socket 754,,"MMX, 3DNow!+, SSE, SSE2, SSE3",,"AMD64,  NX bit"
K8,90,Turion 64 X2,,Taylor,TL-50,2,1600,800,64+64,256,,Socket S1,,"MMX, 3DNow!+, SSE, SSE2, SSE3",,AMD64 NX bit
K8,90,Turion 64 X2,,Trinidad,"TL-52, TL-56, TL-60, TL-64",2,"1600, 1800, 2000, 2200",800,64+64,512,,Socket S1,,"MMX, 3DNow!+, SSE, SSE2, SSE3",,AMD64 NX bit
K8,65,Turion 64 X2,,Tyler,"TK-53, TK-55, TK-57",2,"1700, 1800, 1900",800,64+64,256,,Socket S1,,"MMX, 3DNow!+, SSE, SSE2, SSE3",,AMD64 NX bit
K8,65,Turion 64 X2,,Tyler,"TL-56, TL-58, TL-60, TL-62, TL-64, TL-66, TL-68",2,"1800, 1900, 2000, 2100, 2200, 2300, 2400",800,64+64,512,,Socket S1,,"MMX, 3DNow!+, SSE, SSE2, SSE3",,AMD64 NX bit
K10,65,Opteron,,Barcelona,,4,1700-2500,1000,64+64,"256, 512",2048,Socket F,,"MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!",PowerNow!,"AMD64,  NX bit,  AMD-V,  ccNUMA"
K10,65,Opteron,,Budapest,,4,1700-2500,1000,64+64,"256, 512",2048,Socket AM2,,"MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!",PowerNow!,"AMD64,  NX bit,  AMD-V"
